"year","quarter_cycle","GDP_growth_qt","DSPIC_change_pct","UNRATE","R_majorvote_pct","D_majorvote_pct","H_incumbent_party_majorvote_pct"
2003,4,160.572,0.261876483,6,NA,NA,NA
2004,5,75.502,0.460758863,5.7,51.37,48.63,51.37
2004,6,108.376,1.145183744,5.6,51.37,48.63,51.37
2004,7,135.461,0.653625579,5.5,51.37,48.63,51.37
2004,8,144.892,1.261610028,5.5,51.37,48.63,51.37
2005,1,161.726,-1.171280053,5.3,NA,NA,NA
2005,2,68.18,0.949938699,5.2,NA,NA,NA
2005,3,132.272,0.294815694,5,NA,NA,NA
2005,4,94.543,1.282098686,5,NA,NA,NA
2006,5,200.429,1.944284728,4.7,45.91,54.09,45.91
2006,6,35.679,0.243212433,4.7,45.91,54.09,45.91
2006,7,23.663,0.259293329,4.7,45.91,54.09,45.91
2006,8,130.56,1.319837047,4.4,45.91,54.09,45.91
2007,1,36.4,0.850748324,4.6,NA,NA,NA
2007,2,88.757,0.256297002,4.5,NA,NA,NA
2007,3,84.653,0.088692053,4.7,NA,NA,NA
2007,4,95.229,0.068052821,4.7,NA,NA,NA
2008,5,-90.584,0.277524562,5,44.44,55.56,55.56
2008,6,80.925,1.827054607,5,44.44,55.56,55.56
2008,7,-85.276,-2.098371806,5.8,44.44,55.56,55.56
2008,8,-339.005,0.873665836,6.5,44.44,55.56,55.56
2009,1,-172.087,-0.431040668,7.8,NA,NA,NA
2009,2,-21.823,1.075061175,9,NA,NA,NA
2009,3,55.105,-1.131208171,9.5,NA,NA,NA
2009,4,166.836,-0.025380711,10,NA,NA,NA
2010,5,59.087,0.562556256,9.8,53.47,46.53,46.53
2010,6,142.132,1.647818878,9.9,53.47,46.53,46.53
2010,7,114.69,0.711491677,9.4,53.47,46.53,46.53
2010,8,78.658,0.560184056,9.4,53.47,46.53,46.53
2011,1,-37.871,1.019378786,9.1,NA,NA,NA
2011,2,112.342,-0.218756207,9.1,NA,NA,NA
2011,3,-4.396,0.436536351,9,NA,NA,NA
2011,4,183.407,0.310771009,8.8,NA,NA,NA
2012,5,125.311,1.871746534,8.3,49.39,50.61,49.39
2012,6,69.389,0.909654132,8.2,49.39,50.61,49.39
2012,7,21.86,-0.715397326,8.2,49.39,50.61,49.39
2012,8,18.471,2.769555059,7.8,49.39,50.61,49.39
2013,1,143.826,-4.002218513,8,NA,NA,NA
2013,2,20.216,0.744263367,7.6,NA,NA,NA
2013,3,128.505,0.434440354,7.3,NA,NA,NA
2013,4,131.964,0.394853438,7.2,NA,NA,NA
2014,5,-47.109,1.393453398,6.6,52.91,47.09,47.09
2014,6,224.935,1.360279623,6.2,52.91,47.09,47.09
2014,7,205.623,1.167386276,6.2,52.91,47.09,47.09
